,Fitness,Fitness,Fitness,Fitness,Time,Time,Evals,Evals,Position,Position
,mean,std,min,max,mean,std,mean,std,mean,std
AlgoritmoTabla,,,,,,,,,,
BL,13.912,2.448,12.35,17.55,0.428,0.258,10000.0,0.0,3.25,0.5
BMB,12.162,1.462,11.3,14.35,0.099,0.044,1010.0,0.0,7.0,0.816
ES,12.275,1.993,11.1,15.25,0.005,0.005,189.0,58.782,7.5,2.887
GRASP-NOBL,14.487,2.167,12.95,17.7,0.016,0.007,10.0,0.0,1.75,0.5
GRASP-SIBL,12.025,1.358,11.15,14.05,0.1,0.043,1000.0,0.0,8.0,1.414
Greedy,14.662,2.104,13.35,17.8,0.001,0.0,10.0,0.0,1.25,0.5
ILS,12.225,1.886,11.15,15.05,0.092,0.042,1001.0,0.0,7.5,1.291
ILS-ES,11.638,0.801,11.0,12.8,0.006,0.002,361.25,38.117,8.5,2.38
Mejor Práctica 2,13.475,2.174,12.1,16.7,1.074,0.402,30330.0,0.0,3.75,0.5
Random,12.263,1.695,11.3,14.8,0.876,0.304,10000.0,0.0,6.5,1.291
