Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
AGE-Position,GKD-b_44_n150_m15,51.8736,39.8193,65.5864,50.0023,0.0834,0.0822,0.0845
AGE-Position,GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.0413,0.0407,0.0418
AGE-Position,GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0409,0.0408,0.0411
AGE-Position,GKD-b_6_n25_m7,28.5462,13.4793,39.316,55.4478,0.0437,0.0435,0.0439
AGE-Position,GKD-b_32_n125_m12,52.7314,33.9585,61.8007,64.3686,0.0682,0.0677,0.0685
AGE-Position,GKD-b_18_n50_m15,94.0592,80.4285,106.5652,54.0756,0.0693,0.0687,0.0696
AGE-Position,GKD-b_38_n125_m37,448.5292,364.6519,498.3582,58.0926,0.2285,0.226,0.2324
AGE-Position,GKD-b_17_n50_m15,85.9021,48.1075,113.4836,43.9972,0.0708,0.0704,0.0713
AGE-Position,GKD-b_39_n125_m37,398.4641,313.6064,471.2319,57.69,0.2275,0.2267,0.2293
AGE-Position,GKD-b_21_n100_m10,40.1965,21.9748,64.1193,65.589,0.0613,0.061,0.0616
AGE-Position,GKD-b_48_n150_m45,486.3793,391.6802,655.8853,53.381,0.3216,0.3179,0.3268
AGE-Position,GKD-b_11_n50_m5,12.6055,10.5335,15.5236,84.7202,0.0446,0.044,0.0455
AGE-Position,GKD-b_19_n50_m15,130.015,98.2837,173.7268,64.3022,0.0701,0.0701,0.0703
AGE-Position,GKD-b_47_n150_m45,508.9438,364.3237,625.1831,55.0829,0.3177,0.3159,0.3204
AGE-Position,GKD-b_41_n150_m15,57.9009,43.0093,83.1016,59.6792,0.0814,0.081,0.0817
AGE-Position,GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.0419,0.0412,0.0438
AGE-Position,GKD-b_43_n150_m15,73.3992,55.5195,94.7614,63.5494,0.0817,0.0812,0.0822
AGE-Position,GKD-b_14_n50_m5,15.5952,9.3242,21.4352,89.3352,0.044,0.0437,0.0445
AGE-Position,GKD-b_50_n150_m45,694.548,560.1533,806.9771,64.17,0.3225,0.3198,0.3247
AGE-Position,GKD-b_16_n50_m15,121.66,74.8232,172.3522,64.8646,0.07,0.0697,0.0703
AGE-Position,GKD-b_33_n125_m12,44.6203,33.7104,59.4534,58.4683,0.0688,0.0684,0.0691
AGE-Position,GKD-b_7_n25_m7,25.776,19.0249,37.4336,45.3029,0.0446,0.0444,0.0449
AGE-Position,GKD-b_46_n150_m45,657.8391,600.5586,790.4307,65.3792,0.3246,0.3178,0.3281
AGE-Position,GKD-b_25_n100_m10,34.0795,26.9136,37.8246,49.5282,0.0615,0.0612,0.0619
AGE-Position,GKD-b_8_n25_m7,32.631,23.7854,39.4138,48.6341,0.044,0.0437,0.0445
AGE-Position,GKD-b_12_n50_m5,12.5271,7.6362,18.752,83.0683,0.0444,0.0441,0.0447
AGE-Position,GKD-b_37_n125_m37,479.6939,323.8286,587.5591,58.5372,0.2279,0.2277,0.2281
AGE-Position,GKD-b_13_n50_m5,15.0933,11.3513,17.5233,84.3487,0.0439,0.0434,0.0443
AGE-Position,GKD-b_35_n125_m12,54.1921,33.8067,75.5613,66.5774,0.0686,0.0683,0.0689
AGE-Position,GKD-b_45_n150_m15,55.631,28.9767,76.9327,50.0764,0.0819,0.0816,0.082
AGE-Position,GKD-b_36_n125_m37,359.5484,286.2705,410.6294,56.7694,0.2321,0.2273,0.2414
AGE-Position,GKD-b_30_n100_m30,284.6217,163.502,354.7329,55.2108,0.1624,0.1615,0.1642
AGE-Position,GKD-b_49_n150_m45,598.5199,545.1992,653.1113,62.1718,0.3213,0.3186,0.3238
AGE-Position,GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0436,0.0411,0.0481
AGE-Position,GKD-b_22_n100_m10,38.6802,29.589,51.4338,64.6736,0.0614,0.0611,0.0616
AGE-Position,GKD-b_28_n100_m30,274.785,208.4014,350.1455,61.2864,0.1641,0.1638,0.1644
AGE-Position,GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.0413,0.0412,0.0415
AGE-Position,GKD-b_15_n50_m5,13.1194,10.7416,14.7029,78.2526,0.0438,0.0435,0.0444
AGE-Position,GKD-b_42_n150_m15,64.1769,47.3353,82.4421,58.2568,0.0815,0.0813,0.0818
AGE-Position,GKD-b_34_n125_m12,59.7589,36.5573,81.7465,67.3884,0.0691,0.0689,0.0694
AGE-Position,GKD-b_20_n50_m15,85.2183,62.5862,122.9752,44.0084,0.0696,0.0692,0.0703
AGE-Position,GKD-b_27_n100_m30,298.0393,233.627,388.6511,57.3555,0.1617,0.1613,0.1622
AGE-Position,GKD-b_9_n25_m7,32.1591,26.3008,40.7074,46.9226,0.0436,0.0432,0.0438
AGE-Position,GKD-b_10_n25_m7,34.2407,26.7197,43.7322,32.0539,0.0439,0.0436,0.0441
AGE-Position,GKD-b_29_n100_m30,336.4244,296.2144,383.9058,59.1429,0.1617,0.1609,0.162
AGE-Position,GKD-b_26_n100_m30,329.9647,282.667,376.3555,48.8644,0.162,0.1612,0.1627
AGE-Position,GKD-b_40_n125_m37,392.6481,340.9912,437.9844,54.6175,0.2286,0.2276,0.2312
AGE-Position,GKD-b_24_n100_m10,37.6211,27.4559,49.0188,77.0324,0.0626,0.0611,0.0675
AGE-Position,GKD-b_23_n100_m10,30.1562,22.0948,34.4288,49.1137,0.0611,0.0607,0.0613
AGE-Position,GKD-b_31_n125_m12,37.2106,23.2436,51.8728,68.436,0.0691,0.0688,0.0694
